taxonomy_id	FMD_002	FMD_003	FMD_004	FMD_006	FMD_007	FMD_008	FMD_009	FMD_012	FMD_013	FMD_014	FMD_015	FMD_017	FMD_021	FMD_023	FMD_024	FMD_025	FMD_026	FMD_027	FMD_028	FMD_029	FMD_032	FMD_033	FMD_034	FMD_035	FMD_037	FMD_038	FMD_039_040	FMD_043_044	FMD_050	FMD_051	FMD_052	FMD_058	FMD_059	NC1	NC2	NC3	NC4
114527	117	1527	228	414	678	1872	1384	177	69	34	406	0	360	13	283	334	0	91	58	29	0	93	269	64	279	316	269	72	238	97	21	45	43	0	0	0	0
48665	560	2164	407	1590	836	2349	1915	2279	0	165	1763	0	331	0	1072	2432	0	289	166	370	278	382	1177	725	387	709	1020	266	181	258	230	3418	205	0	0	0	0
421	14	57	35	52	20	48	64	42	0	0	65	0	28	39	55	62	0	50	0	0	13	0	42	44	20	28	16	18	33	12	0	25	27	22	0	0	0
46257	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2736640	819	5223	995	8394	3136	4986	4104	20317	234	86	4247	241	2324	130	2604	17988	53	191	129	263	258	4138	3079	749	1407	1359	2799	456	329	789	373	5494	462	161	32	49	32
2735316	106	418	63	241	68	283	323	210	0	0	241	0	70	0	165	590	36	96	0	33	0	26	178	47	28	110	212	0	50	52	0	74	39	0	0	0	0
2488639	0	186	62	62	33	51	60	476	0	0	64	0	32	21	45	61	0	0	13	0	0	0	296	437	0	51	247	0	45	0	0	57	23	0	0	0	0
29471	32	117	58	36	15	57	30	90	0	0	51	0	16	16	20	39	0	0	0	12	0	0	58	23	0	33	102	0	29	0	13	21	12	26	0	0	0
388950	75	183	56	135	54	91	187	76	16	0	47	0	42	20	135	101	0	19	0	0	28	15	119	50	34	54	43	0	24	0	25	24	20	0	0	0	0
63363	0	14	0	0	0	11	12	16	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2575923	4681	11238	8566	22756	5180	8366	22912	3582	1354	768	13615	450	1634	117	3370	11152	90	147	120	512	100	94	8773	8284	630	6201	5555	2240	3805	518	846	1256	590	182	24	80	200
936456	0	53	27	41	14	56	37	55	0	0	40	0	0	80	39	24	0	0	0	0	109	0	23	68	0	11	24	12	12	0	19	22	0	0	0	0	0
1191459	13	62	35	43	26	40	98	45	17	0	56	0	19	11	93	64	0	34	17	0	44	38	176	65	0	67	47	0	42	0	35	23	42	15	0	0	0
2590020	0	0	0	0	0	0	29	30	0	0	0	0	0	0	23	0	0	31	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
134821	0	20	104	19	0	15	33	311	0	29	0	0	0	0	53	15	0	0	0	0	0	30	19	36	0	79	44	0	94	21	0	0	13	0	0	0	0
1224145	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0
293389	0	80	0	543	0	0	123	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	240	0	0	0
1684	55	361	54	203	52	135	149	105	97	0	86	0	28	81	68	174	0	0	0	10	139	0	63	56	0	37	53	22	33	12	32	35	16	12	0	0	0
2743	57	170	35	163	78	161	193	152	32	0	318	40	85	40	102	353	0	46	0	64	24	25	80	48	27	93	130	36	33	53	26	61	49	28	0	12	0
1267766	264	891	222	713	292	1198	968	432	161	79	1618	136	259	92	470	927	92	62	85	108	113	42	422	300	166	232	531	53	80	314	110	161	59	177	0	0	0
323415	266	798	224	1444	920	920	632	779	44	66	2406	48	122	39	418	777	0	66	53	184	139	44	544	204	191	277	299	82	105	99	106	377	97	29	25	11	11
1982883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0
46127	36	140	52	56	23	82	109	43	29	0	73	0	45	0	62	78	0	0	14	15	0	10	133	20	69	57	40	70	70	0	16	0	0	65	0	0	0
29442	48	131	67	172	70	132	107	241	20	0	271	0	25	17	110	104	0	0	0	27	0	28	177	25	16	90	109	12	33	32	12	32	16	0	11	0	0
2496266	16	42	24	44	0	48	36	20	0	0	42	0	0	0	26	73	0	0	0	0	0	0	48	0	0	14	22	12	11	0	13	0	0	0	0	0	0
2072407	121	381	168	275	142	550	392	225	0	0	484	0	56	0	128	228	0	35	38	78	0	20	262	55	29	52	151	0	77	0	49	67	47	0	0	0	0
